Bsckmmayu_	818520171497144320	นี่มันอะไรกันทำไมมันเป็นการดูนกที่ ฟหกด่าสว่กรกาแสกวฝหากห่ห่บหวหสหรกทำาำนกา แม่เจ้า!!!! (นกอะไรตั้งแปดนิ้ว)โอยยย #พ่อบ้านซือชวิน
exsuperbxten	818520108561666053	นกมาเยอะละชีวิตนี้จะนกอีกเป็นไรไป ^____^
bbam_onge	818520017318776832	นกกลายพันธ์เป็นเต่าไม่ได้ ฮื้ออออ
heejinx2017	818520009773223938	@mingyeongforu มินกยองฟอร์แพรวใจ
singkhonn	818519903216889856	ฝนตกงี้ บรรยากาศงี้ น่านอนกอดใครสักคน #แต่พี่ทำได้แค่กอดหมอนข้าง
_Iightbyx	818519887299522560	น่าพี่ มันต้องมีสักวันที่พี่เขาไม่นก 555555555555555
Mon_6109	818519757410340865	โคตรฮาเนรุรอบนี้ ปกติเนรุไม่เคยนกนะ มารอบนี้นกรัวมาก 555555555555
Fifi_funnyFen	818519745666256896	"""เฮือกกกก"" นกฮูกสีเงินตัวสั่น ถูกลากไปนั่งตกลงข้อตกลงมากมายกับพ่อมดหนุ่มชาวไทยที่โหดร้ายยิ่งกว่าตัวกริลดีโลว์ น่ากลัวกว่าแวร์วูฟ"
thisisnamnam	818519711461740545	อ่านนกขมิ้นรอบที่ร้อย ยังเขินอยู่ดี555 น่ารัก
Emyayah	818519637436436480	ไม่นกกกกกกโว้ยยยยย ไม่นกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกก
_chqx	818519602137272320	นกทุกที่เลย
Recluzz	818519319340457984	สู้นะ สักวันจะเลิกนก 
MookIam1106	818519254756560901	กูจะอัพฟิคก็ทำไม่ได้ คนอ่านก็นกต่อไป
Fifi_funnyFen	818519221365673984	"""เรายังคุยกันไม่จบเลยนะ คุณนกฮูก ผมเข้าใจเรื่องนั้น แล้วที่คุณลวนลามเพื่อนผมล่ะ รอยแดงๆตามตัวยูริ มันมีเยอะมากเลยนะใต้ร่มผ้าน่ะ"""
Ruttanawun	818519187513438212	เมื่อก่อนเคยเป็นนกหรอ นกรู้อ่ะ รำคาน.
thedyingdays	818519087785512964	เพนกวิ้นไม่ได้กินหมีหรอ
khaopodsdiary	818518879899004928	จริงๆแล้วน้องนกอ่าเด็กพี่เองแหละอย่าทำไรเด็กพี่นะ :-(
finelyjihoonx	818518844520075266	สงสัยต้องหาดิสคู่มินกยู จะได้เอามาคู่กับวินโด้ว บอกตงๆรำค๊าญ
Fifi_funnyFen	818518839289778179	เจ้านกขี้ออเซาะก็รีบซุกตัวกอดแนบหน้าลงบนไหล่บางๆ สูดดมกลิ่นแชมพูหอมๆที่คุ้นเคย จนมีแรงดึงที่ด้านหลังดึงผมยาวสลวยสีเงินให้หงายหลัง
